	count
turns	6
100	5
took	5
dna	5
'm	5
an	5
overthinker	5
someone	5
energy	5
little	5
different	5
lotives	5
tuesday	2
was	2
preseason	2
got	2
laughing	1
lexual	1
y	1
cityjohn	1
ðŸ’€	1
're	1
t.co/jumqkwyhvr	1
buyingâ€¦	1
tf	1
did	1
ass	1
tweet	1
please	1
night	1
wait	1
end	1
hack	1
korean	1
north	1
why	1
till	1
last	1
gf	1
understand	1
over	1
7	1
black	1
rode	1
videomicro	1
external	1
microphone	1
week	1
gopro	1
bâ€¦	1
2	1
cynder232	1
hero	1
charging	1
woman	1
believe	1
ll	1
icymi	1
sending	1
women	1
jail	1
miscarrâ€¦	1
thekingsjourney	1
â€¦	1
area	1
fail	1
england	1
reason	1
good	1
xanozichimonji	1
t.co/ruef3xqt7t	1
t.co/xsxoro9wwx	1
quarter-final	1
cup	1
world	1
face	1
lionesses	1
confirmed	1
teams	1
live	1
vs	1
norway	1
brave	1
cause	1
cobra	1
bottle	1
big	1
sweets	1
today	1
blood	1
stands	1
experience	1
still	1
ntokozo969	1
kitkat	1
water	1
doritos	1
yogurt	1
apple	1
box	1
lunch	1
library	1
study	1
students	1
testâ€¦	1
7pm	1
july	1
2nd	1
off	1
kicks	1
senior	1
starts	1
banburyrufc	1
watch	1
bad	1
never	1
t.co/mtn2jkgjpq	1
